Nome,PaperRollSize,N_Tagli,numero Colonne,Errore Assoluto RoundUp,Errore Relativo RoundUp,Errore Assoluto branch,Errore Relativo branch,Tempo generazione Colonne,Tempo Soluzione migliorata,Tempo Terminazione Algoritmo,soluzione rilassamento,soluzione Ottima,soluzioneTrovata,soluzione ottimo dal RoundUp
Falkenauer_u500_05.txt,150,81,234,18.0,18.0,0.08737864077669903,0.08737864077669903,3323,333883,333883,205.08666666666676,206.0,224,224,
Falkenauer_u500_11.txt,150,81,214,26.0,26.0,0.13,0.13,2978,430993,430993,199.4266666666667,200.0,226,226,
Falkenauer_u500_10.txt,150,81,195,22.0,22.0,0.11,0.11,3523,433027,433027,199.0666666666667,200.0,222,222,
Falkenauer_u500_04.txt,150,80,197,22.0,22.0,0.10679611650485436,0.10679611650485436,2757,356781,356781,205.1133333333334,206.0,228,228,
Falkenauer_u500_12.txt,150,81,236,21.0,21.0,0.105,0.105,3512,381336,381336,198.62,200.0,221,221,
Falkenauer_u500_06.txt,150,81,226,26.0,26.0,0.12560386473429952,0.12560386473429952,3818,378562,378562,206.90579710144928,207.0,233,233,
Falkenauer_u500_07.txt,150,80,220,28.0,28.0,0.13725490196078433,0.13725490196078433,3860,342675,342675,203.98,204.0,232,232,
Falkenauer_u500_13.txt,150,81,225,24.0,24.0,0.12244897959183673,0.12244897959183673,3493,337654,337654,195.58666666666664,196.0,220,220,
Falkenauer_u500_17.txt,150,81,195,22.0,22.0,0.1111111111111111,0.1111111111111111,2831,371315,371315,197.42666666666668,198.0,220,220,
Falkenauer_u500_03.txt,150,81,245,25.0,25.0,0.12254901960784313,0.12254901960784313,3799,338698,338698,203.81333333333333,204.0,229,229,
Falkenauer_u500_02.txt,150,80,188,27.0,27.0,0.13366336633663367,0.13366336633663367,4766,362955,362955,201.44,202.0,229,229,
Falkenauer_u500_16.txt,150,81,249,25.0,25.0,0.12376237623762376,0.12376237623762376,3816,349910,349910,201.00666666666663,202.0,227,227,
Falkenauer_u500_00.txt,150,81,241,25.0,25.0,0.12562814070351758,0.12562814070351758,3870,359605,359605,197.58,199.0,224,224,
Falkenauer_u500_14.txt,150,81,243,23.0,23.0,0.11274509803921569,0.11274509803921569,5338,404380,404380,203.02666666666664,204.0,227,227,
Falkenauer_u500_15.txt,150,80,222,23.0,23.0,0.11442786069651742,0.11442786069651742,3400,358625,358625,200.13333333333335,201.0,224,224,
Falkenauer_u500_01.txt,150,81,218,25.0,25.0,0.12376237623762376,0.12376237623762376,3150,369136,369136,200.84666666666666,202.0,227,227,
Falkenauer_u1000_18.txt,150,81,234,25.0,25.0,0.06265664160401002,0.06265664160401002,4475,345587,345587,398.19333333333344,399.0,424,424,
Falkenauer_u120_09.txt,150,64,182,24.0,1.0,0.5217391304347826,0.021739130434782608,1859,136333,423241,45.80000000000001,46.0,47.0,70,
Falkenauer_u1000_19.txt,150,81,199,28.0,28.0,0.07,0.07,5365,397629,397629,399.33333333333337,400.0,428,428,
Falkenauer_u120_08.txt,150,67,193,21.0,0.0,0.42,0.0,2222,295435,346387,49.91156462585033,50.0,50.0,71,
Falkenauer_u250_19.txt,150,81,214,24.0,24.0,0.23529411764705882,0.23529411764705882,2973,381922,381922,101.35999999999999,102.0,126,126,
Falkenauer_u250_18.txt,150,76,249,23.0,23.0,0.23,0.23,3815,445330,445330,99.69999999999999,100.0,123,123,
